Item_Id,Goods_category,Retailing_price_(YUAN),Commission_rate,Sales_volume,Sales_amount,Conversion_rate,Short_video,Live_streaming,Name,Host_category,Good_category_new
66,3C digital products,2300,0.00%,934,2165657,0.04%,0,12,Luo Yonghao,C,digital
67,3C digital products,9370,0.00%,226,2117617,0.14%,0,13,Luo Yonghao,C,digital
68,The local life,3988,1.00%,528,2104183,0.52%,0,5,Luo Yonghao,C,leisure and others
69,3C digital products,8329,0.00%,251,2099229,0.78%,0,2,Luo Yonghao,C,digital
70,Kitchen and bath appliance,1899,1.00%,886,2088785,0.10%,0,9,Luo Yonghao,C,household
71,Food and beverage,59.6,20.00%,30800,2083742,0.73%,0,13,Luo Yonghao,C,food
72,Automobile motorcycle,1998.96,5.00%,1003,2083557,0.13%,0,6,Luo Yonghao,C,leisure and others
73,Food and beverage,78.77,5.00%,26256,2072611,1.23%,0,14,Luo Yonghao,C,food
74,3C digital products,8099,0.00%,254,2058000,1.93%,0,1,Luo Yonghao,C,digital
75,The local life,1066,1.00%,1916,2043630,4.32%,0,4,Luo Yonghao,C,leisure and others
76,"Books, audio and video",6798,1.00%,300,2038530,0.20%,0,6,Luo Yonghao,C,leisure and others
77,Medical care,189.82,1.00%,10690,2030353,1.90%,0,8,Luo Yonghao,C,beauty
78,Furniture and building materials,2018.83,5.00%,1000,2019505,0.31%,0,4,Luo Yonghao,C,leisure and others
79,3C digital products,6599,0.00%,305,2012000,2.20%,0,1,Luo Yonghao,C,digital
80,3C digital products,4845,0.00%,403,2004158,0.14%,0,3,Luo Yonghao,C,digital
81,The local life,5201.98,1.00%,383,1992358,0.12%,0,12,Luo Yonghao,C,leisure and others
82,"Books, audio and video",3995.77,9.00%,497,1985966,0.15%,0,6,Luo Yonghao,C,leisure and others
83,The local life,4999,1.00%,395,1974248,0.55%,0,6,Luo Yonghao,C,leisure and others
84,Food and beverage,11.71,0.00%,164610,1955395,4.31%,0,19,Luo Yonghao,C,food
85,3C digital products,1266,0.00%,1541,1951000,3.17%,0,1,Luo Yonghao,C,digital
86,Shoe bag,347.89,15.00%,5583,1945194,1.01%,0,3,Luo Yonghao,C,clothing
87,Beauty skin care,648.84,1.00%,2960,1920718,2.17%,0,5,Luo Yonghao,C,beauty
88,3C digital products,8598.93,0.00%,223,1917000,1.05%,0,1,Luo Yonghao,C,digital
89,Beauty skin care,3590,1.00%,527,1891138,3.24%,0,2,Luo Yonghao,C,beauty
90,Kitchen and bath appliance,2799,1.00%,627,1880273,0.04%,0,8,Luo Yonghao,C,household
91,Toy and Musical Instruments,3698.88,1.00%,508,1879060,0.33%,0,3,Luo Yonghao,C,leisure and others
92,Kitchen and bath appliance,1879,1.00%,996,1871684,0.79%,0,3,Luo Yonghao,C,household
93,3C digital products,12498.55,0.00%,149,1862000,0.27%,0,1,Luo Yonghao,C,digital
94,Furniture and building materials,998.47,1.00%,1823,1820961,1.58%,0,2,Luo Yonghao,C,leisure and others
95,Fresh fruits and vegetables,238,1.00%,7598,1808457,7.48%,0,4,Luo Yonghao,C,food
96,Beauty skin care,399,1.00%,4524,1805085,50.79%,0,2,Luo Yonghao,C,beauty
97,Fresh fruits and vegetables,97.6,1.00%,18025,1790147,1.21%,0,12,Luo Yonghao,C,food
98,3C digital products,8297.56,0.00%,211,1750000,0.39%,0,1,Luo Yonghao,C,digital
99,Food and beverage,59.66,15.00%,29188,1743213,14.22%,0,3,Luo Yonghao,C,food
100,Food and beverage,59.81,10.00%,28792,1722849,7.79%,0,3,Luo Yonghao,C,food
101,"Books, audio and video",7598.75,12.00%,225,1709738,0.18%,0,3,Luo Yonghao,C,leisure and others
102,The local life,5999,10.00%,282,1691025,0.45%,0,3,Luo Yonghao,C,leisure and others
103,Fresh fruits and vegetables,299,15.00%,5638,1685635,2.39%,0,3,Luo Yonghao,C,food
104,3C digital products,1266,0.00%,1312,1678907,2.06%,0,2,Luo Yonghao,C,digital
105,The local life,1098.71,1.00%,1525,1675000,1.82%,0,1,Luo Yonghao,C,leisure and others
106,3C digital products,8389,0.00%,200,1674000,0.00%,0,1,Luo Yonghao,C,digital
107,Sports and Outdoor,1639,5.00%,1017,1667130,0.84%,0,2,Luo Yonghao,C,leisure and others
108,3C digital products,8396.15,0.00%,198,1662000,3.21%,0,1,Luo Yonghao,C,digital
109,3C digital products,8945.99,0.00%,181,1625549,0.35%,0,2,Luo Yonghao,C,digital
110,3C digital products,2699,0.00%,600,1619000,11.90%,0,1,Luo Yonghao,C,digital
111,"Books, audio and video",95,0.00%,16999,1614930,80.00%,0,3,Luo Yonghao,C,leisure and others
112,Food and beverage,297.92,15.00%,5411,1612350,2.51%,0,6,Luo Yonghao,C,food
113,Food and beverage,497.66,1.00%,3228,1606438,3.90%,0,8,Luo Yonghao,C,food
114,The local life,7995.82,10.00%,198,1583554,0.19%,0,4,Luo Yonghao,C,leisure and others
115,Household textile,87,15.00%,17655,1569160,0.98%,0,9,Luo Yonghao,C,household
116,Beauty skin care,798.59,5.00%,1951,1558299,1.05%,0,3,Luo Yonghao,C,beauty
117,Jewelry Accessories,520.03,1.00%,2959,1538760,4.14%,0,7,Luo Yonghao,C,jewelry and watches
118,Furniture and building materials,1298.74,1.00%,1184,1537824,0.36%,0,5,Luo Yonghao,C,leisure and others
119,Jewelry Accessories,2988,1.00%,509,1521000,1.81%,0,1,Luo Yonghao,C,jewelry and watches
120,3C digital products,8099,0.00%,188,1519000,1.36%,0,1,Luo Yonghao,C,digital
121,3C digital products,7489,0.00%,200,1497000,13.27%,0,1,Luo Yonghao,C,digital
122,Dress and underwear,24,1.00%,59691,1496168,0.64%,0,13,Luo Yonghao,C,clothing
123,Medical care,118.92,1.00%,9938,1492598,2.91%,0,10,Luo Yonghao,C,beauty
124,Shoe bag,3399,1.00%,439,1492000,4.41%,0,1,Luo Yonghao,C,clothing
125,Beauty skin care,898.55,1.00%,1646,1479387,0.31%,0,12,Luo Yonghao,C,beauty
126,The local life,2588,1.00%,436,1477380,1.11%,0,7,Luo Yonghao,C,leisure and others
127,The local life,2799,1.00%,526,1472952,0.64%,0,5,Luo Yonghao,C,leisure and others
128,Beauty skin care,498.6,1.00%,2940,1466639,1.24%,0,6,Luo Yonghao,C,beauty
129,Kitchen and bath appliance,1880.03,0.00%,778,1462000,0.93%,0,1,Luo Yonghao,C,household
130,3C digital products,8385.92,0.00%,174,1459000,6.54%,0,1,Luo Yonghao,C,digital
131,3C digital products,3792.09,0.00%,384,1456406,0.14%,0,2,Luo Yonghao,C,digital
132,3C digital products,3799,0.00%,376,1456328,0.16%,0,2,Luo Yonghao,C,digital
133,Beauty skin care,169,1.00%,8560,1446671,13.76%,0,3,Luo Yonghao,C,beauty
134,Shoe bag,89,1.00%,15142,1440273,2.95%,0,3,Luo Yonghao,C,clothing
135,Furniture and building materials,349,1.00%,3926,1436302,3.69%,0,3,Luo Yonghao,C,leisure and others
136,3C digital products,1266,0.00%,1132,1433000,3.74%,0,1,Luo Yonghao,C,digital
137,3C digital products,2169,0.00%,658,1427402,0.10%,0,6,Luo Yonghao,C,digital
138,"Books, audio and video",5387.52,1.00%,263,1416991,0.08%,0,5,Luo Yonghao,C,leisure and others
139,Daily provisions,24.68,1.00%,57149,1414375,4.35%,0,11,Luo Yonghao,C,household
140,Food and beverage,47.8,1.00%,28389,1405818,0.31%,0,8,Luo Yonghao,C,food
141,Furniture and building materials,1298.51,1.00%,1080,1402669,0.50%,0,6,Luo Yonghao,C,leisure and others
142,3C digital products,3499,0.00%,400,1399900,0.52%,0,2,Luo Yonghao,C,digital
143,3C digital products,3896.94,4.00%,359,1399000,0.42%,0,1,Luo Yonghao,C,digital
144,Daily provisions,85,15.00%,14636,1394546,1.51%,0,8,Luo Yonghao,C,household
145,Dress and underwear,299,2.00%,4661,1393656,5.17%,0,2,Luo Yonghao,C,clothing
146,3C digital products,8389,0.00%,166,1392000,0.86%,0,1,Luo Yonghao,C,digital
147,The local life,1498.99,5.00%,659,1391529,0.88%,0,5,Luo Yonghao,C,leisure and others
148,Food and beverage,595.6,1.00%,2335,1390719,1.08%,0,8,Luo Yonghao,C,food
149,3C digital products,8945.94,0.00%,155,1386000,1.05%,0,1,Luo Yonghao,C,digital
150,The local life,4998.52,10.00%,277,1384677,0.14%,0,5,Luo Yonghao,C,leisure and others
151,3C digital products,6699,0.00%,206,1379000,2.03%,0,1,Luo Yonghao,C,digital
152,Medical care,98.75,1.00%,13938,1378690,2.16%,0,15,Luo Yonghao,C,beauty
153,Beauty skin care,108,15.00%,12683,1369814,4.87%,0,6,Luo Yonghao,C,beauty
154,Fresh fruits and vegetables,61.61,15.00%,17724,1361460,6.21%,0,7,Luo Yonghao,C,food
155,Beauty skin care,678,1.00%,1996,1353000,5.56%,0,1,Luo Yonghao,C,beauty
156,3C digital products,1266,0.00%,1066,1349000,2.84%,0,1,Luo Yonghao,C,digital
157,Beauty skin care,159,1.00%,8470,1346680,4.30%,0,4,Luo Yonghao,C,beauty
158,3C digital products,6281.51,1.00%,213,1337000,2.23%,0,1,Luo Yonghao,C,digital
159,3C digital products,1266,0.00%,1054,1334000,4.00%,0,1,Luo Yonghao,C,digital
160,Others,268,1.00%,4959,1329000,20.28%,0,1,Luo Yonghao,C,leisure and others
161,Food and beverage,686.25,15.00%,1936,1328570,0.45%,0,9,Luo Yonghao,C,food
162,Beauty skin care,188.71,1.00%,7017,1324583,13.09%,0,3,Luo Yonghao,C,beauty
163,Household textile,113,1.00%,11606,1311413,3.19%,0,3,Luo Yonghao,C,household
164,Beauty skin care,159,1.00%,7863,1309037,2.17%,0,3,Luo Yonghao,C,beauty
165,Kitchen and bath appliance,6989,5.00%,187,1309000,0.18%,0,1,Luo Yonghao,C,household
166,The local life,5487.84,1.00%,238,1305724,1.16%,0,4,Luo Yonghao,C,leisure and others
167,Jewelry Accessories,36800,1.00%,35,1288000,0.61%,0,1,Luo Yonghao,C,jewelry and watches
168,"Books, audio and video",3597.95,5.00%,357,1284486,0.45%,0,4,Luo Yonghao,C,leisure and others
169,Clocks and watches accessories,798.38,1.00%,1605,1281406,0.67%,0,7,Luo Yonghao,C,jewelry and watches
170,3C digital products,17798.69,0.00%,72,1281000,0.11%,0,1,Luo Yonghao,C,digital
171,Beauty skin care,799,1.00%,1595,1274636,5.85%,0,3,Luo Yonghao,C,beauty
172,Furniture and building materials,1597.73,1.00%,791,1263629,0.64%,0,3,Luo Yonghao,C,leisure and others
173,Beauty skin care,159,1.00%,7893,1255000,82.47%,0,1,Luo Yonghao,C,beauty
174,The local life,974.81,0.00%,1287,1254411,1.49%,0,3,Luo Yonghao,C,leisure and others
175,Food and beverage,698.94,8.00%,1790,1251123,0.19%,0,5,Luo Yonghao,C,food
176,The local life,9197.89,1.00%,135,1241730,0.04%,0,5,Luo Yonghao,C,leisure and others
177,Shoe bag,355,20.00%,3435,1227707,0.59%,0,5,Luo Yonghao,C,clothing
178,Food and beverage,1187,0.00%,1015,1224492,1.19%,0,2,Luo Yonghao,C,food
179,Dress and underwear,39.52,10.00%,30453,1209772,4.05%,0,7,Luo Yonghao,C,clothing
180,3C digital products,94.88,0.00%,12744,1209615,44.78%,0,2,Luo Yonghao,C,digital
181,Beauty skin care,499,1.00%,2415,1205029,3.29%,0,5,Luo Yonghao,C,beauty
182,"Books, audio and video",95,0.00%,12516,1189000,153.66%,0,1,Luo Yonghao,C,leisure and others
183,Food and beverage,1069,1.00%,1108,1184196,4.19%,0,3,Luo Yonghao,C,food
184,"Books, audio and video",3597.85,1.00%,329,1183000,1.16%,0,1,Luo Yonghao,C,leisure and others
185,Daily provisions,178.95,10.00%,6556,1173457,1.78%,0,3,Luo Yonghao,C,household
186,Furniture and building materials,178.88,15.00%,6556,1173080,3.80%,0,4,Luo Yonghao,C,leisure and others
187,The local life,1379,1.00%,844,1172507,1.52%,0,4,Luo Yonghao,C,leisure and others
188,Beauty skin care,98.99,1.00%,11769,1165000,159.30%,0,1,Luo Yonghao,C,beauty
189,Beauty skin care,649,1.00%,1791,1162432,3.31%,0,3,Luo Yonghao,C,beauty
190,Jewelry Accessories,698.97,1.00%,1654,1156000,6.13%,0,1,Luo Yonghao,C,jewelry and watches
191,The local life,3597.83,1.00%,321,1154000,0.70%,0,1,Luo Yonghao,C,leisure and others
192,Food and beverage,1069,0.00%,1077,1151000,2.65%,0,1,Luo Yonghao,C,food
193,Kitchen and bath appliance,2999,5.00%,382,1145604,0.92%,0,2,Luo Yonghao,C,household
194,Food and beverage,69.37,6.00%,16491,1144253,9.48%,0,3,Luo Yonghao,C,food
195,"Books, audio and video",95,0.00%,12000,1140000,60.61%,0,1,Luo Yonghao,C,leisure and others
196,3C digital products,95,0.00%,12000,1140000,55.71%,0,1,Luo Yonghao,C,digital
197,"Books, audio and video",95,0.00%,12000,1139995,104.60%,0,2,Luo Yonghao,C,leisure and others
198,3C digital products,95,0.00%,11989,1139000,18.20%,0,1,Luo Yonghao,C,digital
199,Shoe bag,98.89,1.00%,11513,1138741,36.29%,0,2,Luo Yonghao,C,clothing
200,Medical care,185,15.00%,5945,1120287,1.88%,0,6,Luo Yonghao,C,beauty
201,3C digital products,6149,0.00%,182,1119000,0.46%,0,1,Luo Yonghao,C,digital
202,"Books, audio and video",2999,5.00%,369,1118402,0.44%,0,4,Luo Yonghao,C,leisure and others
203,Household textile,79,5.00%,14127,1116042,37.79%,0,2,Luo Yonghao,C,household
204,Beauty skin care,778.62,1.00%,1431,1114346,1.08%,0,5,Luo Yonghao,C,beauty
205,3C digital products,2699,0.00%,413,1114000,2.07%,0,1,Luo Yonghao,C,digital
206,The local life,1949.27,1.00%,571,1113270,0.23%,0,4,Luo Yonghao,C,leisure and others
207,Jewelry Accessories,698.99,1.00%,1581,1105000,18.39%,0,1,Luo Yonghao,C,jewelry and watches
208,3C digital products,5399,0.00%,204,1101000,1.58%,0,1,Luo Yonghao,C,digital
209,"Books, audio and video",998.64,1.00%,1098,1096602,1.04%,0,2,Luo Yonghao,C,leisure and others
210,Sports and Outdoor,49,15.00%,22284,1091868,1.95%,0,6,Luo Yonghao,C,leisure and others
211,Beauty skin care,268.89,1.00%,4039,1086242,1.59%,0,6,Luo Yonghao,C,beauty
212,Food and beverage,68.85,5.00%,15690,1081150,1.59%,0,6,Luo Yonghao,C,food
213,Beauty skin care,15.8,0.00%,47093,1080269,29.41%,0,3,Luo Yonghao,C,beauty
214,Sports and Outdoor,163.92,5.00%,6575,1078262,2.18%,0,7,Luo Yonghao,C,leisure and others
215,Jewelry Accessories,399,1.00%,2702,1078000,15.74%,0,1,Luo Yonghao,C,jewelry and watches
216,Furniture and building materials,128.96,20.00%,8353,1077507,9.57%,0,2,Luo Yonghao,C,leisure and others
217,Clocks and watches accessories,898.99,20.00%,1198,1076996,1.03%,0,2,Luo Yonghao,C,jewelry and watches
218,3C digital products,4279.66,0.00%,250,1073711,1.38%,0,2,Luo Yonghao,C,digital
219,3C digital products,95,0.00%,11204,1064366,91.90%,0,2,Luo Yonghao,C,digital
220,3C digital products,95,0.00%,11203,1064288,115.25%,0,2,Luo Yonghao,C,digital
221,Beauty skin care,98,1.00%,10850,1063438,1.93%,0,7,Luo Yonghao,C,beauty
222,Beauty skin care,677.92,1.00%,1563,1059779,3.13%,0,2,Luo Yonghao,C,beauty
223,Kitchen and bath appliance,9998.33,20.00%,106,1059000,0.26%,0,1,Luo Yonghao,C,household
224,"Books, audio and video",5197.88,1.00%,203,1055000,0.66%,0,1,Luo Yonghao,C,leisure and others
225,Sports and Outdoor,1298,15.00%,812,1054568,0.03%,0,5,Luo Yonghao,C,leisure and others
226,Food and beverage,299.04,15.00%,3499,1046354,0.40%,0,9,Luo Yonghao,C,food
227,3C digital products,8390.93,0.00%,124,1040000,1.05%,0,1,Luo Yonghao,C,digital
228,Dress and underwear,299,1.00%,3475,1039318,1.92%,0,3,Luo Yonghao,C,clothing
229,3C digital products,100,0.00%,10360,1036000,160.12%,0,1,Luo Yonghao,C,digital
230,"Books, audio and video",5596,1.00%,185,1035630,0.12%,0,3,Luo Yonghao,C,leisure and others
231,3C digital products,3799,0.00%,271,1035491,0.32%,0,2,Luo Yonghao,C,digital
232,"Books, audio and video",1246,1.00%,825,1029784,0.38%,0,4,Luo Yonghao,C,leisure and others
233,Beauty skin care,19,0.00%,47940,1022131,39.60%,0,4,Luo Yonghao,C,beauty
234,Others,299,5.00%,3404,1017768,2.64%,0,2,Luo Yonghao,C,leisure and others
235,Food and beverage,32.66,20.00%,29868,1015457,2.22%,0,6,Luo Yonghao,C,food
236,Medical care,206.95,10.00%,4866,1007269,1.20%,0,6,Luo Yonghao,C,beauty
237,Food and beverage,39.47,0.00%,25344,1006573,1.71%,0,3,Luo Yonghao,C,food
238,Jewelry Accessories,199,1.00%,5055,1006000,49.31%,0,1,Luo Yonghao,C,jewelry and watches
239,Jewelry Accessories,1998.98,9.00%,501,1001496,0.39%,0,2,Luo Yonghao,C,jewelry and watches
240,Kitchen and bath appliance,1999,0.00%,500,999500,1.90%,0,1,Luo Yonghao,C,household
241,Daily provisions,99,20.00%,10095,999375,76.26%,0,1,Luo Yonghao,C,household
242,Kitchen and bath appliance,3489.92,1.00%,286,998117,4.18%,0,1,Luo Yonghao,C,household
243,3C digital products,5449,0.00%,183,997487,0.77%,0,1,Luo Yonghao,C,digital
244,Food and beverage,39.74,0.00%,25087,997475,17.98%,0,2,Luo Yonghao,C,food
245,Kitchen and bath appliance,2650,1.00%,374,993178,0.78%,0,2,Luo Yonghao,C,household
246,Dress and underwear,279.87,1.00%,3535,989476,2.53%,0,2,Luo Yonghao,C,clothing
247,Beauty skin care,1548,1.00%,636,984593,0.74%,0,3,Luo Yonghao,C,beauty
248,3C digital products,1266,0.00%,775,981280,4.13%,0,1,Luo Yonghao,C,digital
249,Daily provisions,3999,1.00%,245,979755,0.12%,0,5,Luo Yonghao,C,household
250,Beauty skin care,948.34,1.00%,1029,976014,0.79%,0,4,Luo Yonghao,C,beauty
251,"Books, audio and video",5598,1.00%,174,974052,0.57%,0,3,Luo Yonghao,C,leisure and others
252,Kitchen and bath appliance,1840,1.00%,529,973360,0.49%,0,3,Luo Yonghao,C,household
253,3C digital products,1999,0.00%,467,973034,0.15%,0,4,Luo Yonghao,C,digital
254,Fresh fruits and vegetables,148.82,1.00%,6515,969980,3.05%,0,4,Luo Yonghao,C,food
255,Dress and underwear,249,1.00%,3890,968812,3.67%,0,2,Luo Yonghao,C,clothing
256,Beauty skin care,159,1.00%,6087,967849,6.35%,0,2,Luo Yonghao,C,beauty
257,3C digital products,8397.08,0.00%,115,965664,5.50%,0,1,Luo Yonghao,C,digital
258,Jewelry Accessories,458.97,1.00%,2100,963855,10.81%,0,1,Luo Yonghao,C,jewelry and watches
259,Toy and Musical Instruments,159,5.00%,6040,960350,54.19%,0,1,Luo Yonghao,C,leisure and others
260,Kitchen and bath appliance,1599,1.00%,600,959400,0.47%,0,3,Luo Yonghao,C,household
261,Beauty skin care,35.76,1.00%,26804,958970,13.28%,0,4,Luo Yonghao,C,beauty
262,Daily provisions,54.95,1.00%,17176,958371,1.90%,0,6,Luo Yonghao,C,household
263,"Books, audio and video",2999,1.00%,300,958083,0.16%,0,8,Luo Yonghao,C,leisure and others
264,3C digital products,8384.09,0.00%,114,955787,4.99%,0,1,Luo Yonghao,C,digital
265,Dress and underwear,198.52,1.00%,4802,953313,5.15%,0,1,Luo Yonghao,C,clothing
266,"Books, audio and video",95,0.00%,10001,950080,114.68%,0,1,Luo Yonghao,C,leisure and others
267,3C digital products,95,0.00%,9999,949935,69.76%,0,1,Luo Yonghao,C,digital
268,3C digital products,95,0.00%,9999,949920,54.65%,0,1,Luo Yonghao,C,digital
269,"Books, audio and video",95,0.00%,9983,948665,173.77%,0,2,Luo Yonghao,C,leisure and others
270,3C digital products,8389,0.00%,113,947957,1.50%,0,1,Luo Yonghao,C,digital
271,Shoe bag,3598.7,1.00%,263,946527,0.03%,0,7,Luo Yonghao,C,clothing
272,Dress and underwear,179,1.00%,5281,945323,8.13%,0,1,Luo Yonghao,C,clothing
273,3C digital products,3635.5,0.00%,260,945312,1.95%,0,1,Luo Yonghao,C,digital
274,Beauty skin care,644,1.00%,1456,943425,2.71%,0,3,Luo Yonghao,C,beauty
275,Kitchen and bath appliance,1799,1.00%,523,940977,0.56%,0,3,Luo Yonghao,C,household
276,The local life,3999,1.00%,235,939765,0.22%,0,5,Luo Yonghao,C,leisure and others
277,"Books, audio and video",3998.61,10.00%,235,939699,0.90%,0,2,Luo Yonghao,C,leisure and others
278,Beauty skin care,389,1.00%,2408,936618,3.54%,0,3,Luo Yonghao,C,beauty
279,3C digital products,3896.97,4.00%,240,935273,0.45%,0,1,Luo Yonghao,C,digital
280,Beauty skin care,358.49,1.00%,2596,931295,0.64%,0,8,Luo Yonghao,C,beauty
281,Dress and underwear,64,1.00%,13649,931120,8.47%,0,3,Luo Yonghao,C,clothing
282,3C digital products,5991.25,1.00%,155,928636,0.75%,0,1,Luo Yonghao,C,digital
283,Shoe bag,30,1.00%,30931,927933,36.37%,0,1,Luo Yonghao,C,clothing
284,Food and beverage,448,10.00%,2060,922972,3.64%,0,3,Luo Yonghao,C,food
285,Food and beverage,1069,0.00%,862,921497,2.07%,0,1,Luo Yonghao,C,food
286,3C digital products,2685.13,0.00%,343,921002,1.28%,0,1,Luo Yonghao,C,digital
